0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
P,C,C,C,Pt,,,,,,,,,,
C,C,Hg,,,,,,,,,,,,
S,Co,C,Co,,,,,,,,,,,
Ni,P,C,C,P,,,,,,,,,,
H,Mo,,,,,,,,,,,,,
Te,Te,C,,,,,,,,,,,,
As,O,O,C,C,,,,,,,,,,
P,Pd,O,C,C,,,,,,,,,,
S,N,O,C,,,,,,,,,,,
P,O,N,O,C,,,,,,,,,,
S,Te,C,,,,,,,,,,,,
C,Mo,C,C,H,,,,,,,,,,
Pt,Cl,Cl,P,P,,,,,,,,,,
Si,C,C,C,Cl,,,,,,,,,,
C,P,O,C,,,,,,,,,,,
Si,N,C,C,C,,,,,,,,,,
P,C,P,C,,,,,,,,,,,
C,S,S,O,,,,,,,,,,,
Sb,Sb,C,C,,,,,,,,,,,
C,Cl,C,H,,,,,,,,,,,
S,O,O,C,N,,,,,,,,,,
Se,Se,W,,,,,,,,,,,,
C,C,Cl,O,,,,,,,,,,,
C,C,I,C,,,,,,,,,,,
C,Br,C,C,H,,,,,,,,,,
C,C,S,N,H,,,,,,,,,,
O,B,H,,,,,,,,,,,,
C,C,S,C,Fe,,,,,,,,,,
S,O,O,O,O,,,,,,,,,,
N,Sb,N,,,,,,,,,,,,
N,O,N,O,,,,,,,,,,,
N,S,O,S,,,,,,,,,,,
Y,,,,,,,,,,,,,,
Ni,Br,C,P,P,,,,,,,,,,
S,C,C,Ni,,,,,,,,,,,
B,N,B,N,,,,,,,,,,,
Si,O,O,C,C,,,,,,,,,,
Si,O,O,O,O,,,,,,,,,,
Cu,Se,Se,N,Cu,N,,,,,,,,,
Cl,Ag,,,,,,,,,,,,,
C,S,N,H,,,,,,,,,,,
N,N,,,,,,,,,,,,,
H,Co,,,,,,,,,,,,,
C,N,N,H,H,,,,,,,,,,
C,Br,N,C,C,,,,,,,,,,
N,N,N,O,,,,,,,,,,,
P,Fe,C,C,C,,,,,,,,,,
I,Au,,,,,,,,,,,,,
P,S,O,C,C,,,,,,,,,,
H,O,,,,,,,,,,,,,
P,O,O,O,C,,,,,,,,,,
Pt,N,S,S,N,,,,,,,,,,
Cl,Au,,,,,,,,,,,,,
Cl,,,,,,,,,,,,,,
Ru,P,P,C,H,H,,,,,,,,,
C,C,C,Se,Fe,,,,,,,,,,
C,O,C,H,H,,,,,,,,,,
C,Ru,Br,C,C,,,,,,,,,,
C,Br,Br,C,H,,,,,,,,,,
As,C,C,C,H,,,,,,,,,,
B,S,S,B,,,,,,,,,,,
C,C,Br,S,,,,,,,,,,,
C,C,S,Si,,,,,,,,,,,
Pd,P,P,P,Pd,,,,,,,,,,
C,C,O,C,N,,,,,,,,,,
Na,,,,,,,,,,,,,,
O,I,,,,,,,,,,,,,
C,Fe,B,C,C,,,,,,,,,,
N,C,W,C,,,,,,,,,,,
P,O,C,C,O,,,,,,,,,,
Li,,,,,,,,,,,,,,
C,C,S,Br,,,,,,,,,,,
Se,S,C,,,,,,,,,,,,
C,C,O,O,O,,,,,,,,,,
Si,O,C,C,C,,,,,,,,,,
N,S,S,,,,,,,,,,,,
C,C,C,O,H,,,,,,,,,,
Si,C,Cl,Cl,C,,,,,,,,,,
Ru,Cl,P,C,P,C,C,C,C,,,,,,
C,C,Si,H,H,,,,,,,,,,
S,P,C,,,,,,,,,,,,
C,C,N,C,N,,,,,,,,,,
C,N,O,H,H,,,,,,,,,,
C,Au,F,F,F,,,,,,,,,,
P,C,C,Os,,,,,,,,,,,
C,C,P,H,H,,,,,,,,,,
C,C,Cl,S,,,,,,,,,,,
N,C,C,Ta,,,,,,,,,,,
Te,C,C,,,,,,,,,,,,
Cl,C,,,,,,,,,,,,,
Si,O,C,O,Pt,,,,,,,,,,
C,Hf,C,C,C,,,,,,,,,,
C,C,Sb,H,H,,,,,,,,,,
Si,C,F,C,C,,,,,,,,,,
C,B,C,Fe,C,,,,,,,,,,
Ge,C,O,C,O,,,,,,,,,,
C,S,F,F,F,,,,,,,,,,
I,I,,,,,,,,,,,,,
C,C,Ni,C,H,,,,,,,,,,
B,C,C,N,,,,,,,,,,,
C,Hg,C,C,,,,,,,,,,,
C,Cl,N,C,,,,,,,,,,,
C,Ti,C,C,C,,,,,,,,,,
Si,C,Cl,Cl,Si,,,,,,,,,,
C,C,Fe,C,H,,,,,,,,,,
Pb,C,O,O,O,,,,,,,,,,
C,N,C,C,,,,,,,,,,,
H,S,,,,,,,,,,,,,
P,C,N,C,C,,,,,,,,,,
S,S,Ni,,,,,,,,,,,,
C,Se,C,C,,,,,,,,,,,
S,O,O,N,C,,,,,,,,,,
C,O,C,Cl,,,,,,,,,,,
N,P,P,,,,,,,,,,,,
C,N,Br,N,,,,,,,,,,,
H,Ru,,,,,,,,,,,,,
C,C,O,F,,,,,,,,,,,
C,N,P,H,H,,,,,,,,,,
S,Pt,C,,,,,,,,,,,,
C,Cl,O,C,C,,,,,,,,,,
Cl,Si,,,,,,,,,,,,,
C,C,C,Bi,C,,,,,,,,,,
O,N,W,,,,,,,,,,,,
Ti,S,C,C,C,C,C,C,C,,,,,,
C,O,O,C,H,,,,,,,,,,
Ni,P,Br,P,Br,,,,,,,,,,
O,Ti,C,,,,,,,,,,,,
N,P,P,C,,,,,,,,,,,
Si,Cl,Cl,Cl,C,,,,,,,,,,
I,I,I,,,,,,,,,,,,
Ti,O,C,C,C,C,C,C,C,C,C,C,C,,
N,C,N,C,,,,,,,,,,,
Te,O,O,C,C,,,,,,,,,,
C,Br,C,H,,,,,,,,,,,
C,Pd,N,N,,,,,,,,,,,
S,C,H,,,,,,,,,,,,
N,S,N,,,,,,,,,,,,
C,P,C,N,,,,,,,,,,,
P,C,C,C,I,,,,,,,,,,
C,W,Si,H,H,,,,,,,,,,
C,C,Te,N,,,,,,,,,,,
C,C,S,H,,,,,,,,,,,
La,,,,,,,,,,,,,,
C,Ni,N,N,,,,,,,,,,,
Si,Si,Si,Si,C,,,,,,,,,,
C,O,O,C,O,,,,,,,,,,
C,S,S,N,,,,,,,,,,,
C,N,Cl,C,,,,,,,,,,,
P,Pt,C,C,C,,,,,,,,,,
C,S,S,,,,,,,,,,,,
C,N,C,Br,,,,,,,,,,,
N,C,H,H,H,,,,,,,,,,
